N: 200

P: 25

DIST: [
0 12887 8458 17015 13675 12624 10076 10077 13446 3965 14898 1120 16339 998 9760 7593 4980 14350 18379 12612 8542 2507 14889 5880 8958 3378 8751 6070 15003 12162 4646 10930 9910 6677 13034 15416 18031 6648 373 6750 13583 316 13393 12433 18845 17658 1921 8348 16893 13178 3077 12779 11898 16556 16333 8240 2643 16714 18996 16057 11625 2435 5557 8664 12613 4674 12665 1861 12804 4418 6861 19430 17834 14865 13166 5716 10962 12404 17033 18076 19433 7009 13037 3691 1660 757 18011 2274 4722 17417 14819 14565 2590 4170 9551 12041 6842 6349 19894 6472 8725 8328 13996 19028 13916 7399 3752 6652 3331 2599 2071 11301 159 2916 6280 7673 8037 15175 16848 4876 13036 18358 16591 3206 3245 13071 5052 13930 6297 11458 8398 15201 11199 14681 10571 13473 14705 2918 170 8268 19492 16176 5236 4163 3039 3727 1349 15665 4213 14392 16505 4024 5684 11291 16596 5821 8385 18654 7447 4383 13523 19457 10705 11230 4659 6798 7124 10012 398 4419 1461 13866 17292 463 10637 9990 9305 13909 14705 10816 2289 7492 5908 11818 16786 19428 6150 17557 7537 3336 14065 9575 13953 14409 16814 5147 3746 18893 6760 981 
18116 0 1885 11212 2642 7102 9792 12257 8631 3902 17846 16338 3790 10918 9957 6382 7729 2669 12051 19710 19108 7290 16787 538 13025 14904 6417 12149 9744 15448 14797 11017 12184 4107 2922 13716 7921 19766 14567 8589 9711 13678 1197 18233 16989 10238 3988 5464 4576 2384 19236 14054 10703 12065 14111 306 15215 7684 208 16063 1413 19681 7238 6769 10269 19576 2936 8758 6133 15712 17897 2858 6261 5880 3542 18625 15614 8715 14147 10414 11623 5404 12257 9899 16783 16551 1419 14690 5508 17666 5350 10852 9841 1535 18521 4291 16781 16207 3624 14992 30 5374 4582 9385 5921 16954 2097 11755 15885 10883 6414 10901 9294 8774 11532 3163 996 1668 13572 3355 17854 7091 18544 4664 18402 13315 11992 10529 8199 10545 13186 1773 17396 15078 5356 5878 13490 16761 7259 10860 1624 15910 7350 7672 4598 13532 10187 14293 8622 12666 1816 4 14660 12737 6289 9477 13278 488 19885 9710 7670 12927 7950 9478 18649 13174 13845 15201 8743 16302 15301 9998 1988 14987 822 7714 18383 17231 15188 12423 13748 19735 944 13564 16019 6308 6506 19210 6652 13287 15777 14734 7117 11955 7797 18824 1073 13425 9243 6172 
2540 16232 0 18593 14455 19941 17541 16389 13889 6537 4853 10579 2474 18864 18720 19722 8629 8916 14043 12686 14485 13525 5249 1867 3391 9543 2682 5579 7696 1126 17780 13891 97 9888 13880 17354 13856 9475 16334 15876 695 17559 7686 12123 2746 7525 12142 6295 8568 2585 17526 17219 6672 16357 11531 15014 12345 190 3357 17533 7485 11862 15610 9094 11120 18861 11308 6240 2315 5819 10084 17139 5657 3687 12517 15998 11178 8317 8571 3245 19368 14893 17476 6709 7012 566 19676 17801 2763 6861 4885 12616 16788 11706 10829 13452 12600 2053 9210 4464 4390 14615 15980 14146 3836 5497 18817 16112 1249 6622 14599 19479 2336 9106 2434 12838 6330 10255 18471 12889 9005 1363 16456 3277 2138 10069 4826 12580 10308 5106 8391 13655 4424 1253 3860 2843 19806 2603 13793 19390 8561 2245 3388 15877 16718 7147 11058 13332 8656 11473 4128 16201 11408 13749 10816 12205 3909 15670 12779 5649 17434 19249 11949 3937 8927 7437 18624 11306 1052 11409 9661 3896 14767 13358 9285 6044 9200 11014 1257 5886 9058 8667 16016 10703 2123 11560 18888 8961 6952 6700 174 11723 11112 3004 12448 7956 18600 9258 6397 8840 
18268 10657 9419 0 2208 4484 7063 10638 5136 17607 2592 13888 16420 6430 7786 14364 16618 10176 14874 12010 11618 7516 10285 15958 10629 13069 2692 15992 1229 17095 17197 18550 11755 625 12513 11611 4090 14938 2325 2832 2289 8637 9825 9707 13215 17676 14195 11634 7366 1560 9773 7594 17094 19111 19882 1243 7953 6181 15106 1750 672 5391 8914 15400 19749 19622 8063 7584 19111 1144 11245 15242 1295 3260 17530 6622 6034 5704 12404 2873 829 14460 15854 4137 18113 7345 18114 8859 3528 19079 3308 5382 11572 5276 10563 6478 4921 4256 11215 19108 7762 10683 15216 9814 6464 8758 2577 3247 1888 1286 7318 2366 14371 6363 13367 769 17425 17339 19495 254 17339 3929 2352 11372 2871 629 6783 12413 5655 16194 18710 18183 16191 15569 3478 19267 8799 13732 8093 1497 1632 10022 14659 15459 15649 3604 6258 7344 17425 16289 15865 18062 12479 1439 1302 15191 3473 3094 9004 9602 3559 15444 6864 16853 15173 14995 8654 15479 17130 11755 3375 13296 5643 173 13842 15552 4367 18423 15939 6602 16875 16309 3994 1847 14300 3240 17358 13204 12246 10265 5011 14534 10621 11461 16301 7680 12047 3093 7350 8372 
12648 7015 13919 11656 0 13050 8989 4042 196 9423 4502 4249 12758 16130 2343 8264 16493 10610 7703 18184 10806 17270 8936 14229 12677 19332 16119 15924 4274 7686 11942 18885 15550 16552 875 12523 1258 13400 9772 12163 1533 12627 15484 11535 770 4916 17811 13788 13921 14705 8142 14243 5313 13008 9224 8634 16826 16735 16677 13359 8123 8641 1147 15115 12539 1340 1080 19912 16483 13979 15787 15206 1211 1516 3565 14749 9213 18102 12824 1282 3773 17135 14489 2104 11558 3497 18780 8162 7447 6195 12144 11837 5513 11675 16842 12683 9571 8929 13124 312 14488 7503 6816 7314 18668 6361 6688 11915 8681 1752 10204 12692 13352 18511 3612 1337 18629 13187 1162 218 15010 10071 3405 3058 12792 15267 13288 14403 9498 15099 14248 3084 2885 333 3679 11411 14081 18807 4738 945 17057 1396 6298 15635 13999 8270 7248 3586 14940 2928 13635 8814 5135 19600 5356 7011 19130 1466 14886 13684 2111 18099 3829 11428 8228 14771 12198 12512 16451 13307 5876 3276 2405 12982 15964 2494 5408 1333 1901 1 3859 1286 8760 7822 19537 14384 12663 3559 10123 9219 1865 7847 7685 8034 19141 15262 19014 1551 8302 9100 
1951 18781 13998 16308 12815 0 19271 9078 10646 8080 7001 10866 323 12028 4809 1973 9060 17195 5031 11417 14109 5840 6825 15669 282 6261 10496 19082 10878 7993 13096 18066 13144 5286 15959 2223 12448 15912 6949 18613 12157 11721 2957 19643 2964 3281 12053 17278 18888 11123 2532 10471 18679 12553 9868 10856 767 5627 12118 10049 13160 18611 960 19848 17041 3906 2720 17390 3044 12767 7019 9189 11582 8740 12912 11349 18419 13656 17756 17093 10396 18377 8184 3073 1022 10082 13438 8278 19735 18631 12302 17327 7247 739 3593 7112 19863 7732 16245 16248 15343 7649 4621 12276 13353 2512 16098 18945 236 8190 5177 2949 11185 14431 3560 10780 8515 1378 528 8271 8964 7856 15889 13413 5301 15737 1137 904 573 14167 19052 18785 11496 6990 5918 4099 17386 9108 19135 5502 17679 17339 13129 10197 16958 16020 14985 8854 7933 5328 9400 7317 3392 1235 7116 18769 19701 17112 4959 3961 2908 495 102 7496 14166 6650 13756 16086 9603 3352 5492 7777 16685 2877 9225 10773 189 19266 600 1733 13382 8556 7678 8944 1823 481 11131 11405 5108 13221 15693 17724 15026 6789 9914 3187 10847 9149 19249 3823 
5570 17519 12771 17581 6577 7745 0 8559 5588 3585 5742 14051 17920 15793 13699 14692 7612 13555 736 6709 101 2670 16783 12479 9408 1529 18886 8887 8213 6509 18301 12083 10567 13550 19725 4274 13761 5451 15478 12729 4670 4549 9711 10372 3696 13173 17250 4218 4358 16688 18509 7270 7797 12932 5480 12203 1925 15627 10359 6712 11505 10158 10617 4062 9806 8469 7811 18959 7858 12955 4404 7682 16740 5433 17683 322 17724 2086 19873 19490 12818 5381 19954 17467 4314 9920 14532 17575 17178 3238 18551 18511 10687 17931 5524 3052 14532 15493 15528 3943 4814 4344 14176 13069 15028 12801 2823 8718 3439 14633 11542 4288 11345 12732 16205 18366 17324 18503 14196 6470 12134 18107 7585 17933 200 16479 19784 16117 2776 16421 18308 18831 7676 13358 7552 5276 1284 2228 4931 12343 4526 17576 13257 5139 2593 5026 16034 16272 3330 7490 17956 7297 4787 5632 1075 2849 18828 10846 16250 3186 6566 18634 2663 1915 13344 15357 15897 10911 13049 9127 5846 3062 15285 13045 1634 17036 16428 17298 18033 19106 10750 399 10799 1175 16594 6853 7396 17508 19860 2535 321 19206 13597 10988 16876 16968 19341 7998 11873 825 
10938 11004 673 19779 13077 2844 19460 0 18925 19379 18550 19129 10308 15984 16786 12747 18518 16117 9443 19143 15651 13454 19650 16509 17727 15829 19767 9138 18020 11108 8664 18525 16516 15878 8735 728 5936 5679 5706 956 2841 15694 1437 6975 12908 5113 13520 10136 15061 2123 112 8694 13662 1243 13103 8725 18963 10631 18858 11772 19520 1282 15336 7509 400 10742 9152 5087 9256 17653 16457 2149 6948 4743 5011 8511 17590 1670 14568 18581 6815 13764 12477 14488 2934 17298 1868 10545 14680 19059 19165 19023 18765 3506 3127 1690 584 9485 5932 5079 710 16903 8129 4280 19456 13913 10885 5225 19628 16893 9352 690 9333 18917 1150 3335 9613 788 12800 6893 14005 4868 17848 13497 17053 7657 18080 7889 2377 6662 3654 8730 13013 11652 12686 1816 3726 1233 762 7944 9578 17824 10519 11997 3230 13300 12014 3016 10837 2062 8171 5758 1821 9210 8872 7033 6030 10383 9205 17501 16324 4809 10735 7562 18306 5374 17332 4985 5115 7198 18825 1055 15314 6637 13619 7413 18599 968 14774 3733 9794 7631 7895 14339 5597 9693 10624 3780 10674 10874 16694 11561 11822 17118 10885 6700 3238 17884 8966 12570 
19151 12450 1377 11 14983 503 3785 12402 0 8150 1027 8891 10891 992 19403 1477 14817 10625 12902 8799 18538 4052 12530 701 2281 7308 8198 11997 1126 5909 5796 2339 19249 13637 6895 8891 11432 14346 16488 13967 10604 5753 15749 19658 17132 3153 15700 8501 10397 5132 3728 13752 5501 18764 8142 1622 7921 3079 14825 7039 8833 13183 12293 14174 4877 9266 6639 970 14757 3282 1521 9110 6969 2931 11725 588 19407 268 10117 8191 12967 12360 7064 72 8327 11423 2710 2555 11796 17571 16037 1335 5667 14419 15683 14776 11055 15936 3605 8994 19046 1435 18900 11175 8559 18602 17382 18683 10871 8165 14622 15483 7416 14607 11666 2493 18167 19815 9359 4884 4670 4658 12569 13159 6165 7073 15882 3301 10221 9772 13371 4919 10944 15873 7601 13571 112 15524 5267 14137 12773 12741 11416 11292 4034 3540 5921 414 406 14788 13171 16702 17097 16358 11240 11068 18533 2832 14779 12950 13210 3226 3141 1522 14756 3874 8901 17903 13521 2350 8175 13847 1896 12912 16433 7048 9943 13187 1925 13937 6059 8280 8628 5970 983 19671 13909 10413 6258 2649 1384 6495 1435 9075 12039 12668 9 10814 5469 15927 
19298 11741 6392 17309 11664 8423 13343 13908 7854 0 11854 1708 12129 5664 4304 2411 14753 19118 5580 12031 166 17371 3626 8110 8851 11702 7424 16853 8871 7323 12638 6817 6275 13016 977 6532 6325 3693 3462 5143 18607 18488 7875 19841 17068 5533 10733 4795 15202 1083 6482 4538 560 17975 6000 5680 10646 10506 14022 4135 15557 8984 18649 3270 11002 12519 17147 16637 17514 13334 1644 2945 831 9417 9738 15684 15047 18376 979 18033 7109 1432 3655 16209 17552 3421 16213 4231 4777 10144 12254 18923 12797 2372 12272 16749 12775 498 16839 11654 10610 7251 13074 19127 6053 15591 18846 3568 18309 13969 2099 5154 701 10439 14084 274 5011 13993 11144 8198 9082 322 4945 8282 18171 6611 1696 17946 18779 19621 1931 1430 7659 1603 9279 18830 17303 55 16142 7750 8124 14017 15509 7090 10643 8642 13548 16173 2407 6521 19169 19518 17590 3517 19405 18988 10612 1338 10971 11550 4743 19227 8552 3855 6374 792 14388 17102 5324 5313 8350 1367 14215 12215 18876 19304 13166 18069 11726 13448 18931 11197 3204 19919 10885 10637 14710 8259 8085 8370 3802 845 3005 7093 8873 625 17244 5142 15129 11197 
